V,I(365),I(405),I(436),I(486),I(546),I(577),I(589),I(656),656 Chop
-2.72,-1.55726E-10,-1.91944E-10,-2.50655E-10,-1.35365E-11,-1.63048E-10,-7.04885E-11,-3.16706E-11,-7.45256E-13,-7.45256E-13
-2.71,-1.57177E-10,-1.92237E-10,-2.5013E-10,-1.38011E-11,-1.63333E-10,-7.05781E-11,-3.19371E-11,-1.44013E-12,-1.44013E-12
-2.7,-1.58049E-10,-1.93147E-10,-2.51172E-10,-1.38122E-11,-1.63329E-10,-7.10307E-11,-3.19408E-11,-8.30401E-13,-8.30401E-13
-2.69,-1.56633E-10,-1.93507E-10,-2.51478E-10,-1.35749E-11,-1.6316E-10,-7.09001E-11,-3.20722E-11,-9.21277E-13,-9.21277E-13
-2.68,-1.55334E-10,-1.92777E-10,-2.53608E-10,-1.2902E-11,-1.63683E-10,-7.01514E-11,-3.19441E-11,-2.16582E-13,-2.16582E-13
-2.67,-1.55324E-10,-1.91801E-10,-2.51773E-10,-1.34622E-11,-1.63432E-10,-7.00574E-11,-3.18608E-11,-3.4655E-13,-3.4655E-13
-2.66,-1.55895E-10,-1.91313E-10,-2.49618E-10,-1.39045E-11,-1.62633E-10,-7.02353E-11,-3.1693E-11,-5.44061E-13,-5.44061E-13
-2.65,-1.54724E-10,-1.92062E-10,-2.50197E-10,-1.37254E-11,-1.6224E-10,-6.98638E-11,-3.1589E-11,-8.26717E-13,-8.26717E-13
-2.64,-1.54983E-10,-1.9234E-10,-2.50923E-10,-1.33565E-11,-1.62333E-10,-7.0045E-11,-3.15681E-11,1.04001E-12,1.04001E-12
-2.63,-1.54392E-10,-1.91758E-10,-2.5253E-10,-1.28348E-11,-1.62585E-10,-6.98454E-11,-3.17542E-11,-3.15235E-13,-3.15235E-13
-2.62,-1.54224E-10,-1.92316E-10,-2.51266E-10,-1.33322E-11,-1.63085E-10,-6.94156E-11,-3.159E-11,-3.94444E-13,-3.94444E-13
-2.61,-1.55346E-10,-1.93055E-10,-2.50558E-10,-1.36826E-11,-1.62773E-10,-6.93353E-11,-3.16295E-11,-3.96491E-13,-3.96491E-13
-2.6,-1.56069E-10,-1.91856E-10,-2.4986E-10,-1.36597E-11,-1.62356E-10,-6.97738E-11,-3.1487E-11,-4.49297E-13,-4.49297E-13
-2.59,-1.55953E-10,-1.91146E-10,-2.50308E-10,-1.33874E-11,-1.62664E-10,-6.96694E-11,-3.14488E-11,-9.11657E-13,-9.11657E-13
-2.58,-1.5502E-10,-1.91034E-10,-2.49155E-10,-1.28817E-11,-1.63132E-10,-6.96065E-11,-3.13753E-11,-9.6958E-13,-9.6958E-13
-2.57,-1.55059E-10,-1.91715E-10,-2.49784E-10,-1.3331E-11,-1.62098E-10,-6.94526E-11,-3.13231E-11,-1.26452E-12,-1.26452E-12
-2.56,-1.5563E-10,-1.92262E-10,-2.49926E-10,-1.37473E-11,-1.61633E-10,-6.97705E-11,-3.15998E-11,-2.8965E-13,-2.8965E-13
-2.55,-1.54894E-10,-1.91643E-10,-2.50915E-10,-1.38459E-11,-1.61761E-10,-6.96913E-11,-3.17193E-11,-9.14727E-13,-9.14727E-13
-2.54,-1.53189E-10,-1.89822E-10,-2.51596E-10,-1.3317E-11,-1.62266E-10,-6.99254E-11,-3.15652E-11,-7.82916E-13,-7.82916E-13
-2.53,-1.53667E-10,-1.89486E-10,-2.51528E-10,-1.28184E-11,-1.62638E-10,-6.98026E-11,-3.13337E-11,-8.76248E-13,-8.76248E-13
-2.52,-1.54129E-10,-1.90129E-10,-2.50084E-10,-1.33703E-11,-1.62128E-10,-6.92561E-11,-3.11526E-11,-1.00397E-12,-1.00397E-12
-2.51,-1.52741E-10,-1.90309E-10,-2.48314E-10,-1.36095E-11,-1.6109E-10,-6.91061E-11,-3.11491E-11,-8.27945E-13,-8.27945E-13
-2.5,-1.52142E-10,-1.89573E-10,-2.48231E-10,-1.35068E-11,-1.61368E-10,-6.93001E-11,-3.13941E-11,-7.89466E-13,-7.89466E-13
-2.49,-1.5136E-10,-1.88907E-10,-2.48774E-10,-1.31854E-11,-1.6168E-10,-6.97494E-11,-3.16997E-11,-7.79437E-13,-7.79437E-13
