X (Second),CH1 (Volt),CH2 (Volt),
-5.11066e+00,-2.32e+00,-1.76e+00,
-5.11064e+00,-2.40e+00,-1.76e+00,
-5.11062e+00,-2.40e+00,-1.76e+00,
-5.11061e+00,-2.32e+00,-1.76e+00,
-5.11059e+00,-2.40e+00,-1.76e+00,
-5.11057e+00,-2.32e+00,-1.76e+00,
-5.11055e+00,-2.32e+00,-1.76e+00,
-5.11053e+00,-2.32e+00,-1.76e+00,
-5.11051e+00,-2.40e+00,-1.84e+00,
-5.11049e+00,-2.32e+00,-1.76e+00,
-5.11047e+00,-2.40e+00,-1.76e+00,
-5.11045e+00,-2.32e+00,-1.76e+00,
-5.11043e+00,-2.40e+00,-1.76e+00,
-5.11041e+00,-2.40e+00,-1.84e+00,
-5.11039e+00,-2.40e+00,-1.76e+00,
-5.11037e+00,-2.32e+00,-1.76e+00,
-5.11035e+00,-2.32e+00,-1.76e+00,
-5.11033e+00,-2.40e+00,-1.76e+00,
-5.11031e+00,-2.32e+00,-1.76e+00,
-5.11029e+00,-2.40e+00,-1.84e+00,
-5.11027e+00,-2.32e+00,-1.76e+00,
-5.11025e+00,-2.40e+00,-1.76e+00,
-5.11023e+00,-2.40e+00,-1.76e+00,
-5.11021e+00,-2.32e+00,-1.76e+00,
-5.11020e+00,-2.32e+00,-1.76e+00,
-5.11018e+00,-2.32e+00,-1.76e+00,
-5.11016e+00,-2.32e+00,-1.84e+00,
-5.11014e+00,-2.32e+00,-1.84e+00,
-5.11012e+00,-2.32e+00,-1.76e+00,
-5.11010e+00,-2.32e+00,-1.76e+00,
-5.11008e+00,-2.32e+00,-1.76e+00,
-5.11006e+00,-2.32e+00,-1.76e+00,
-5.11004e+00,-2.32e+00,-1.84e+00,
-5.11002e+00,-2.32e+00,-1.76e+00,
-5.11000e+00,-2.40e+00,-1.76e+00,
-5.10998e+00,-2.32e+00,-1.84e+00,
-5.10996e+00,-2.32e+00,-1.76e+00,
-5.10994e+00,-2.32e+00,-1.76e+00,
-5.10992e+00,-2.32e+00,-1.76e+00,
-5.10990e+00,-2.32e+00,-1.76e+00,
-5.10988e+00,-2.40e+00,-1.76e+00,
-5.10986e+00,-2.40e+00,-1.84e+00,
-5.10984e+00,-2.40e+00,-1.84e+00,
-5.10982e+00,-2.32e+00,-1.76e+00,
-5.10980e+00,-2.32e+00,-1.84e+00,
-5.10979e+00,-2.32e+00,-1.84e+00,
-5.10977e+00,-2.32e+00,-1.76e+00,
-5.10975e+00,-2.32e+00,-1.76e+00,
-5.10973e+00,-2.32e+00,-1.76e+00,
-5.10971e+00,-2.40e+00,-1.76e+00,
-5.10969e+00,-2.32e+00,-1.84e+00,
-5.10967e+00,-2.32e+00,-1.76e+00,
-5.10965e+00,-2.32e+00,-1.76e+00,
-5.10963e+00,-2.32e+00,-1.76e+00,
-5.10961e+00,-2.40e+00,-1.76e+00,
-5.10959e+00,-2.32e+00,-1.76e+00,
