#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:21:38
# Real time (s): 666.250
# Live time (s): 666.000
#
# Total counts:  40601
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  2186
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
573	1145.042	4	0.00600601
574	1147.084	3	0.0045045
575	1149.126	5	0.00750751
576	1151.168	5	0.00750751
577	1153.210	4	0.00600601
578	1155.252	8	0.012012
579	1157.295	2	0.003003
580	1159.337	6	0.00900901
581	1161.379	4	0.00600601
582	1163.421	2	0.003003
583	1165.463	5	0.00750751
584	1167.505	5	0.00750751
585	1169.548	3	0.0045045
586	1171.590	4	0.00600601
587	1173.632	6	0.00900901
588	1175.674	2	0.003003
589	1177.716	6	0.00900901
590	1179.758	1	0.0015015
591	1181.801	5	0.00750751
592	1183.843	7	0.0105105
593	1185.885	5	0.00750751
594	1187.927	3	0.0045045
595	1189.969	7	0.0105105
596	1192.011	3	0.0045045
597	1194.054	5	0.00750751
598	1196.096	8	0.012012
599	1198.138	4	0.00600601
600	1200.180	4	0.00600601
601	1202.222	7	0.0105105
602	1204.264	5	0.00750751
603	1206.307	6	0.00900901
604	1208.349	5	0.00750751
605	1210.391	1	0.0015015
606	1212.433	1	0.0015015
607	1214.475	5	0.00750751
608	1216.517	4	0.00600601
609	1218.560	1	0.0015015
610	1220.602	6	0.00900901
611	1222.644	1	0.0015015
612	1224.686	4	0.00600601
613	1226.728	2	0.003003
614	1228.770	3	0.0045045
615	1230.813	4	0.00600601
616	1232.855	2	0.003003
617	1234.897	5	0.00750751
618	1236.939	6	0.00900901
619	1238.981	6	0.00900901
620	1241.023	3	0.0045045
621	1243.066	6	0.00900901
622	1245.108	5	0.00750751
623	1247.150	5	0.00750751
624	1249.192	2	0.003003
625	1251.234	6	0.00900901
626	1253.276	4	0.00600601
627	1255.319	5	0.00750751
628	1257.361	2	0.003003
629	1259.403	5	0.00750751
630	1261.445	4	0.00600601
631	1263.487	2	0.003003
632	1265.529	5	0.00750751
633	1267.572	2	0.003003
634	1269.614	4	0.00600601
635	1271.656	2	0.003003
636	1273.698	7	0.0105105
637	1275.740	2	0.003003
638	1277.782	0	0
639	1279.825	5	0.00750751
640	1281.867	3	0.0045045
641	1283.909	2	0.003003
642	1285.951	3	0.0045045
643	1287.993	4	0.00600601
644	1290.035	7	0.0105105
645	1292.078	3	0.0045045
646	1294.120	6	0.00900901
647	1296.162	6	0.00900901
648	1298.204	4	0.00600601
649	1300.246	8	0.012012
650	1302.288	2	0.003003
651	1304.331	4	0.00600601
652	1306.373	1	0.0015015
653	1308.415	5	0.00750751
654	1310.457	1	0.0015015
655	1312.499	0	0
656	1314.541	3	0.0045045
657	1316.584	6	0.00900901
658	1318.626	2	0.003003
659	1320.668	1	0.0015015
660	1322.710	3	0.0045045
661	1324.752	1	0.0015015
662	1326.794	5	0.00750751
663	1328.837	3	0.0045045
664	1330.879	2	0.003003
665	1332.921	2	0.003003
666	1334.963	3	0.0045045
667	1337.005	1	0.0015015
668	1339.047	3	0.0045045
669	1341.090	6	0.00900901
670	1343.132	1	0.0015015
671	1345.174	6	0.00900901
672	1347.216	4	0.00600601
673	1349.258	1	0.0015015
674	1351.300	5	0.00750751
675	1353.343	2	0.003003
676	1355.385	4	0.00600601
677	1357.427	1	0.0015015
678	1359.469	2	0.003003
679	1361.511	3	0.0045045
680	1363.554	4	0.00600601
681	1365.596	3	0.0045045
682	1367.638	2	0.003003
683	1369.680	6	0.00900901
684	1371.722	3	0.0045045
685	1373.764	5	0.00750751
686	1375.807	0	0
687	1377.849	6	0.00900901
