#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:48:02
# Real time (s): 300.129
# Live time (s): 300.000
#
# Total counts:  30417
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  155
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
739	1484.041	0	0
740	1486.084	1	0.00333333
741	1488.126	1	0.00333333
742	1490.168	1	0.00333333
743	1492.210	2	0.00666667
744	1494.252	1	0.00333333
745	1496.294	2	0.00666667
746	1498.337	2	0.00666667
747	1500.379	2	0.00666667
748	1502.421	2	0.00666667
749	1504.463	0	0
750	1506.505	1	0.00333333
751	1508.547	1	0.00333333
752	1510.590	3	0.01
753	1512.632	1	0.00333333
754	1514.674	1	0.00333333
755	1516.716	1	0.00333333
756	1518.758	2	0.00666667
757	1520.800	1	0.00333333
758	1522.843	2	0.00666667
759	1524.885	1	0.00333333
760	1526.927	1	0.00333333
761	1528.969	0	0
762	1531.011	0	0
763	1533.053	0	0
764	1535.096	1	0.00333333
765	1537.138	0	0
766	1539.180	2	0.00666667
767	1541.222	0	0
768	1543.264	1	0.00333333
769	1545.306	0	0
770	1547.349	2	0.00666667
771	1549.391	2	0.00666667
772	1551.433	0	0
773	1553.475	0	0
774	1555.517	1	0.00333333
775	1557.559	0	0
776	1559.602	1	0.00333333
777	1561.644	1	0.00333333
778	1563.686	2	0.00666667
779	1565.728	2	0.00666667
780	1567.770	1	0.00333333
781	1569.812	0	0
782	1571.855	1	0.00333333
783	1573.897	0	0
784	1575.939	2	0.00666667
785	1577.981	2	0.00666667
786	1580.023	0	0
787	1582.065	3	0.01
788	1584.108	1	0.00333333
789	1586.150	1	0.00333333
790	1588.192	1	0.00333333
791	1590.234	1	0.00333333
792	1592.276	1	0.00333333
793	1594.318	3	0.01
794	1596.361	0	0
795	1598.403	1	0.00333333
796	1600.445	1	0.00333333
797	1602.487	0	0
798	1604.529	0	0
799	1606.571	1	0.00333333
800	1608.614	1	0.00333333
801	1610.656	0	0
802	1612.698	0	0
803	1614.740	1	0.00333333
804	1616.782	0	0
805	1618.824	1	0.00333333
806	1620.867	2	0.00666667
807	1622.909	2	0.00666667
808	1624.951	0	0
809	1626.993	0	0
810	1629.035	1	0.00333333
811	1631.077	1	0.00333333
812	1633.120	0	0
813	1635.162	0	0
814	1637.204	0	0
815	1639.246	1	0.00333333
816	1641.288	1	0.00333333
817	1643.330	0	0
818	1645.373	0	0
819	1647.415	0	0
820	1649.457	0	0
821	1651.499	1	0.00333333
822	1653.541	1	0.00333333
823	1655.583	1	0.00333333
824	1657.626	0	0
825	1659.668	2	0.00666667
826	1661.710	0	0
827	1663.752	0	0
828	1665.794	0	0
829	1667.836	2	0.00666667
830	1669.879	2	0.00666667
831	1671.921	1	0.00333333
832	1673.963	0	0
833	1676.005	3	0.01
834	1678.047	0	0
835	1680.089	2	0.00666667
836	1682.132	1	0.00333333
837	1684.174	0	0
838	1686.216	1	0.00333333
839	1688.258	1	0.00333333
840	1690.300	2	0.00666667
841	1692.342	0	0
842	1694.385	2	0.00666667
843	1696.427	0	0
844	1698.469	3	0.01
845	1700.511	1	0.00333333
846	1702.553	0	0
847	1704.595	1	0.00333333
848	1706.638	0	0
849	1708.680	0	0
850	1710.722	4	0.0133333
851	1712.764	0	0
852	1714.806	1	0.00333333
853	1716.848	0	0
854	1718.891	0	0
855	1720.933	0	0
856	1722.975	0	0
857	1725.017	2	0.00666667
858	1727.059	3	0.01
859	1729.101	0	0
860	1731.144	2	0.00666667
861	1733.186	3	0.01
862	1735.228	0	0
863	1737.270	0	0
864	1739.312	1	0.00333333
865	1741.354	2	0.00666667
866	1743.397	1	0.00333333
867	1745.439	3	0.01
868	1747.481	0	0
869	1749.523	2	0.00666667
870	1751.565	0	0
871	1753.607	1	0.00333333
872	1755.650	0	0
873	1757.692	0	0
874	1759.734	0	0
875	1761.776	1	0.00333333
876	1763.818	1	0.00333333
877	1765.860	1	0.00333333
878	1767.903	3	0.01
879	1769.945	0	0
880	1771.987	1	0.00333333
881	1774.029	1	0.00333333
882	1776.071	1	0.00333333
883	1778.113	1	0.00333333
884	1780.156	1	0.00333333
885	1782.198	0	0
886	1784.240	1	0.00333333
887	1786.282	0	0
888	1788.324	2	0.00666667
889	1790.366	0	0
890	1792.409	0	0
891	1794.451	0	0
892	1796.493	0	0
893	1798.535	1	0.00333333
894	1800.577	0	0
895	1802.619	1	0.00333333
896	1804.662	3	0.01
897	1806.704	1	0.00333333
898	1808.746	2	0.00666667
899	1810.788	0	0
900	1812.830	0	0
901	1814.873	1	0.00333333
902	1816.915	4	0.0133333
903	1818.957	2	0.00666667
904	1820.999	1	0.00333333
905	1823.041	0	0
906	1825.083	2	0.00666667
907	1827.126	0	0
908	1829.168	2	0.00666667
909	1831.210	1	0.00333333
910	1833.252	2	0.00666667
911	1835.294	1	0.00333333
912	1837.336	1	0.00333333
913	1839.379	0	0
914	1841.421	1	0.00333333
915	1843.463	1	0.00333333
916	1845.505	1	0.00333333
917	1847.547	2	0.00666667
918	1849.589	1	0.00333333
919	1851.632	0	0
920	1853.674	1	0.00333333
921	1855.716	0	0
922	1857.758	1	0.00333333
923	1859.800	2	0.00666667
924	1861.842	2	0.00666667
925	1863.885	0	0
926	1865.927	0	0
927	1867.969	0	0
928	1870.011	0	0
929	1872.053	2	0.00666667
930	1874.095	1	0.00333333
931	1876.138	0	0
932	1878.180	2	0.00666667
933	1880.222	3	0.01
934	1882.264	2	0.00666667
935	1884.306	0	0
936	1886.348	1	0.00333333
937	1888.391	0	0
938	1890.433	1	0.00333333
939	1892.475	2	0.00666667
940	1894.517	1	0.00333333
941	1896.559	1	0.00333333
942	1898.601	3	0.01
943	1900.644	0	0
944	1902.686	1	0.00333333
945	1904.728	1	0.00333333
946	1906.770	1	0.00333333
947	1908.812	1	0.00333333
948	1910.854	1	0.00333333
949	1912.897	1	0.00333333
950	1914.939	0	0
951	1916.981	1	0.00333333
952	1919.023	0	0
953	1921.065	0	0
954	1923.107	1	0.00333333
955	1925.150	1	0.00333333
956	1927.192	0	0
957	1929.234	1	0.00333333
958	1931.276	0	0
959	1933.318	0	0
960	1935.360	1	0.00333333
961	1937.403	0	0
