#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-03-22, 13:40:17
# Real time (s): 307.960
# Live time (s): 300.000
#
# Total counts:  1222569
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  45919
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
532	1061.313	1496	4.98667
533	1063.355	1457	4.85667
534	1065.397	1453	4.84333
535	1067.439	1479	4.93
536	1069.481	1503	5.01
537	1071.524	1472	4.90667
538	1073.566	1502	5.00667
539	1075.608	1512	5.04
540	1077.650	1445	4.81667
541	1079.692	1517	5.05667
542	1081.734	1549	5.16333
543	1083.777	1583	5.27667
544	1085.819	1558	5.19333
545	1087.861	1547	5.15667
546	1089.903	1494	4.98
547	1091.945	1532	5.10667
548	1093.987	1489	4.96333
549	1096.030	1519	5.06333
550	1098.072	1501	5.00333
551	1100.114	1536	5.12
552	1102.156	1551	5.17
553	1104.198	1607	5.35667
554	1106.240	1579	5.26333
555	1108.283	1535	5.11667
556	1110.325	1572	5.24
557	1112.367	1532	5.10667
558	1114.409	1495	4.98333
559	1116.451	1568	5.22667
560	1118.493	1592	5.30667
561	1120.536	1596	5.32
562	1122.578	1610	5.36667
563	1124.620	1532	5.10667
564	1126.662	1578	5.26
565	1128.704	1576	5.25333
566	1130.746	1633	5.44333
567	1132.789	1536	5.12
568	1134.831	1603	5.34333
569	1136.873	1571	5.23667
570	1138.915	1614	5.38
571	1140.957	1581	5.27
572	1142.999	1572	5.24
573	1145.042	1608	5.36
574	1147.084	1577	5.25667
575	1149.126	1515	5.05
576	1151.168	1520	5.06667
577	1153.210	1586	5.28667
578	1155.252	1595	5.31667
579	1157.295	1511	5.03667
580	1159.337	1524	5.08
581	1161.379	1469	4.89667
582	1163.421	1427	4.75667
583	1165.463	1455	4.85
584	1167.505	1502	5.00667
585	1169.548	1404	4.68
586	1171.590	1434	4.78
587	1173.632	1395	4.65
588	1175.674	1487	4.95667
589	1177.716	1406	4.68667
590	1179.758	1436	4.78667
591	1181.801	1380	4.6
592	1183.843	1357	4.52333
593	1185.885	1348	4.49333
594	1187.927	1339	4.46333
595	1189.969	1303	4.34333
596	1192.011	1308	4.36
597	1194.054	1291	4.30333
598	1196.096	1250	4.16667
599	1198.138	1288	4.29333
600	1200.180	1277	4.25667
601	1202.222	1277	4.25667
602	1204.264	1253	4.17667
603	1206.307	1257	4.19
604	1208.349	1180	3.93333
605	1210.391	1220	4.06667
606	1212.433	1203	4.01
607	1214.475	1193	3.97667
608	1216.517	1155	3.85
609	1218.560	1099	3.66333
610	1220.602	1158	3.86
611	1222.644	1123	3.74333
612	1224.686	1091	3.63667
613	1226.728	1111	3.70333
614	1228.770	1091	3.63667
615	1230.813	1031	3.43667
616	1232.855	1060	3.53333
617	1234.897	1069	3.56333
618	1236.939	1046	3.48667
619	1238.981	1088	3.62667
620	1241.023	1078	3.59333
621	1243.066	1033	3.44333
622	1245.108	1048	3.49333
623	1247.150	1046	3.48667
624	1249.192	1034	3.44667
625	1251.234	958	3.19333
626	1253.276	1098	3.66
627	1255.319	990	3.3
628	1257.361	1051	3.50333
629	1259.403	1008	3.36
630	1261.445	1021	3.40333
631	1263.487	1044	3.48
632	1265.529	1024	3.41333
633	1267.572	1032	3.44
634	1269.614	995	3.31667
635	1271.656	981	3.27
636	1273.698	943	3.14333
637	1275.740	1034	3.44667
638	1277.782	1004	3.34667
639	1279.825	1022	3.40667
640	1281.867	990	3.3
641	1283.909	979	3.26333
642	1285.951	978	3.26
643	1287.993	993	3.31
644	1290.035	990	3.3
645	1292.078	1010	3.36667
646	1294.120	1059	3.53
647	1296.162	1030	3.43333
648	1298.204	1035	3.45
649	1300.246	963	3.21
650	1302.288	1008	3.36
